veracity,path,oldname,id,newname,url
true,../headlines/true/r_00032_nytimes-distorted-bizarre-food-smells.png,r_00032_nytimes-distorted-bizarre-food-smells.png,id102,id102_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id102_true.png
false,../headlines/false/elon-musk-and-grimes-relationship-timeline2021-12-06-22-05-48.png,elon-musk-and-grimes-relationship-timeline2021-12-06-22-05-48.png,id117,id117_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id117_false.png
true,../headlines/true/r_00027_npr-brazil-cocktail-drugs.png,r_00027_npr-brazil-cocktail-drugs.png,id101,id101_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id101_true.png
true,../headlines/true/r_00047_nbcnews-impossible-stop-spread.png,r_00047_nbcnews-impossible-stop-spread.png,id116,id116_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id116_true.png
false,../headlines/false/girl-can-retire-at-15-after-starting-toy-business-that-made-105k-in-month2021-12-06-22-05-05.png,girl-can-retire-at-15-after-starting-toy-business-that-made-105k-in-month2021-12-06-22-05-05.png,id130,id130_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id130_false.png
false,../headlines/false/fresh-heartache-for-queen-as-most-loyal-pal-dies-after-69-year-friendship2021-12-06-22-04-04.png,fresh-heartache-for-queen-as-most-loyal-pal-dies-after-69-year-friendship2021-12-06-22-04-04.png,id129,id129_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id129_false.png
true,../headlines/true/r_00040_bloomberg-billionaires-employees.png,r_00040_bloomberg-billionaires-employees.png,id110,id110_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id110_true.png
true,../headlines/true/r_00020_nbcnews-desperate-scramble.png,r_00020_nbcnews-desperate-scramble.png,id109,id109_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id109_true.png
false,../headlines/false/cat-caught-hiding-in-owner-christmas-tree-can-you-spot-it2021-12-06-22-03-40.png,cat-caught-hiding-in-owner-christmas-tree-can-you-spot-it2021-12-06-22-03-40.png,id113,id113_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id113_false.png
false,../headlines/false/37-tv-character-deaths-that-made-everyone-cry-and-gasp-and-cry-some-more-in-20212021-12-06-22-07-01.png,37-tv-character-deaths-that-made-everyone-cry-and-gasp-and-cry-some-more-in-20212021-12-06-22-07-01.png,id112,id112_false.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id112_false.png
true,../headlines/true/r_00007_cnn-flawed-health-system.png,r_00007_cnn-flawed-health-system.png,id106,id106_true.png,https://raw.githubusercontent.com/hauselin/taskus_pilot02/main/headlines_renamed/id106_true.png
